First Name,Last Name,Gender,Date of Birth,Contact Type,Date of Joining
Mark,Mathews,Female,2/9/63,Tour Operator,8/8/23
Daniel,Lopez,Female,8/31/54,Tour Operator,11/5/19
Allison,Hunter,Female,11/18/59,Tour Operator,8/30/22
Connor,Moore,Male,9/15/69,Tour Operator,10/16/20
Shane,Wallace,Female,11/2/99,Tour Operator,8/5/19
Laura,Austin,Female,12/23/92,Tour Operator,12/15/21
Tracy,Mendoza,Male,5/6/74,Tour Operator,10/17/19
Timothy,Clark,Female,4/28/57,Tour Operator,5/12/19
Matthew,Smith,Male,10/13/93,Tour Operator,12/11/22
Ian,Sanchez,Female,2/23/69,Tour Operator,1/2/19
