First Name,Last Name,Gender,Date of Birth,Contact Type
Dr. Ada,Lovelace,Male,12/09/1988,Faculty
Dr. Charles,Babbage,Female,3/17/78,Faculty
Dr. Alan,Turing,Male,11/15/78,Faculty
Dr. Carl Friedrich,Gauss,Male,05/12/1965,Faculty
Dr. Isaac,Newton,Male,5/24/71,Faculty
Dr. Richard,Feynman,Female,8/16/85,Faculty
Dr. Marie,Curie,Female,3/16/88,Faculty
Dr. Albert,Einstein,Female,11/25/76,Faculty
Dr. Robert,Boyle,Female,12/23/84,Faculty
Dr. Dmitri,Mendeleev,Male,12/02/1988,Faculty
Dr. Linus,Pauling,Male,1/27/61,Faculty
Dr. Jane,Goodall,Female,10/15/81,Faculty
Dr. Charles,Darwin,Female,2/23/70,Faculty
Dr. Rosalind,Franklin,Female,11/09/1979,Faculty
Dr. Samuel,Johnson,Male,01/02/1984,Faculty
Dr. Virginia,Woolf,Female,2/24/54,Faculty
Dr. William,Wordsworth,Female,6/19/67,Faculty
Dr. Simon,Schama,Male,10/05/1981,Faculty
Dr. Mary,Beard,Male,9/14/58,Faculty
Dr. Eric,Hobsbawm,Male,7/13/73,Faculty
Dr. David,Livingstone,Female,02/04/1978,Faculty
Dr. Alfred Russel,Wallace,Female,09/10/1965,Faculty
Dr. Ellen,Semple,Male,06/01/1979,Faculty
Dr. John Maynard,Keynes,Male,07/09/1986,Faculty
Dr. Adam,Smith,Male,8/29/55,Faculty
Dr. Milton,Friedman,Female,3/24/80,Faculty
Dr. Niccola,Machiavelli,Male,7/16/69,Faculty
Dr. Thomas,Hobbes,Male,01/02/1988,Faculty
Dr. Henry,Kissinger,Male,11/01/1961,Faculty
Dr. Karl,Marx,Female,8/28/74,Faculty
Dr. Jane,Addams,Male,9/19/81,Faculty
Dr. Emile,Durkheim,Male,7/24/62,Faculty
Dr. Sigmund,Freud,Male,12/25/57,Faculty
Dr. Carl,Jung,Male,06/03/1957,Faculty
Dr. B.F.,Skinner,Male,5/18/62,Faculty
Dr. Plato,Olympus,Female,1/28/88,Faculty
Dr. Immanuel,Kant,Female,04/01/1973,Faculty
Dr. Friedrich,Nietzsche,Female,4/27/64,Faculty
Dr. Ruth Bader,Ginsburg,Male,05/05/1977,Faculty
Dr. Oliver Wendell,Holmes,Female,03/01/1969,Faculty
Dr. William,Blackstone,Female,1/30/79,Faculty
Dr. Hippocrates,Hercule,Male,06/02/1981,Faculty
Dr. William,Osler,Male,1/23/71,Faculty
Dr. Joseph,Lister,Female,9/19/87,Faculty
Dr. Pierre,Fauchard,Female,11/16/59,Faculty
Dr. Greene Vardiman,Black,Male,02/06/1966,Faculty
Dr. Peter,Drucker,Male,11/19/60,Faculty
Dr. Florence,Nightingale,Female,12/22/79,Faculty
Dr. Virginia,Henderson,Male,8/20/65,Faculty
Dr. Hildegard,Peplau,Male,8/29/82,Faculty
Dr. William,Procter,Female,06/10/1955,Faculty
Dr. Edward,Parrish,Male,5/20/87,Faculty
Dr. Martin,Wilbert,Male,09/06/1981,Faculty
Dr. James,Herriot,Male,7/29/64,Faculty
Dr. Donald,Smith,Female,05/04/1967,Faculty
Dr. Bernard,Rollin,Male,6/21/83,Faculty
Dr. Nikola,Tesla,Male,1/27/74,Faculty
Dr. Elon,Musk,Female,08/09/1953,Faculty
Dr. George,Stephenson,Male,1/18/63,Faculty
Dr. Henry,Ford,Female,11/08/1978,Faculty
Dr. James,Watt,Female,3/22/82,Faculty
Dr. Stephen,Timoshenko,Female,11/28/83,Faculty
Dr. Michael,Faraday,Female,8/20/78,Faculty
Dr. Alexander Graham,Bell,Male,2/22/81,Faculty
Dr. Isambard Kingdom,Brunel,Female,08/11/1972,Faculty
Dr. Gustave,Eiffel,Male,4/26/69,Faculty
Dr. Karl,Terzaghi,Female,10/02/1957,Faculty
Dr. George E.,Davis,Male,4/20/63,Faculty
Dr. Carl,Bosch,Male,09/02/1987,Faculty
Dr. Warren K.,Lewis,Male,06/03/1968,Faculty
Dr. Wernher von,Braun,Male,03/05/1964,Faculty
Dr. Robert,Goddard,Female,11/26/71,Faculty
Dr. Theodore von,Karman,Male,10/28/62,Faculty
Dr. Rachel,Carson,Female,4/30/75,Faculty
Dr. Elinor,Ostrom,Female,12/15/84,Faculty
Dr. Gro Harlem,Brundtland,Female,12/22/80,Faculty
Dr. Sylvia,Earle,Female,04/11/1961,Faculty
Dr. Jacques,Cousteau,Female,8/30/75,Faculty
Dr. Eugenie,Clark,Male,8/13/56,Faculty
Dr. Carl,Sagan,Male,01/07/1986,Faculty
Dr. Edwin,Hubble,Male,11/12/1957,Faculty
Dr. Stephen,Hawking,Female,03/02/1982,Faculty
Dr. Margaret,Mead,Male,08/10/1983,Faculty
Dr. Franz,Boas,Male,7/19/83,Faculty
Dr. Bronisa aw,Malinowski,Female,4/30/70,Faculty
Dr. Howard,Carter,Female,5/19/76,Faculty
Dr. Kathleen,Kenyon,Male,1/26/85,Faculty
Dr. Gordon,Childe,Female,8/26/66,Faculty
Dr. Noam,Chomsky,Male,07/09/1981,Faculty
Dr. Ferdinand de,Saussure,Female,01/09/1975,Faculty
Dr. Roman,Jakobson,Male,11/23/82,Faculty
Dr. Edith,Hall,Male,09/08/1987,Faculty
Dr. Michael,Porter,Female,9/30/65,Faculty
Dr. Andrew,Wallace-Hadrill,Male,9/30/65,Faculty
Dr. E.H.,Gombrich,Female,11/30/84,Faculty
Dr. John,Berger,Female,8/26/65,Faculty
Dr. Rosalind,Krauss,Female,4/18/56,Faculty
Dr. Ludwig van,Beethoven,Female,04/03/1976,Faculty
Dr. Wolfgang Amadeus,Mozart,Female,7/14/86,Faculty
Dr. Igor,Stravinsky,Female,3/30/83,Faculty
Dr. William,Shakespeare,Male,3/17/75,Faculty
Dr. Constantin,Stanislavski,Female,1/13/70,Faculty
Dr. Antonin,Artaud,Female,4/28/72,Faculty
Maria,Lyons,Female,08/04/2000,Student
Teresa,Stuart,Female,11/27/03,Student
Regina,Willis,Female,03/06/2002,Student
Mark,Mendez,Male,11/16/00,Student
Dr.Krista,Hoffman,Female,12/10/1970,Faculty
Joseph,King,Male,01/01/2004,Student
Christopher,Jones,Male,11/25/02,Student
Stephen,Martin,Male,08/05/2004,Student
Dr.Kevin,Rios,Male,12/17/54,Faculty
Raymond,Davis,Male,04/11/2002,Student
Joseph,Long,Male,12/13/02,Student
Taylor,Green,Female,5/23/01,Student
Richard,Hendricks,Male,7/28/01,Student
Amanda,Pittman,Female,8/17/02,Student
Katie,Harris,Female,12/21/02,Student
Natalie,Butler,Female,5/13/05,Student
Dr.Cathy,Atkins,Female,6/16/76,Faculty
Dr.Elizabeth,Arroyo,Female,08/11/1985,Faculty
Kimberly,Molina,Female,10/27/01,Student
David,Garcia,Male,12/07/2004,Student
Dr.Christina,Martinez,Female,4/28/71,Faculty
Nathan,Campbell,Male,8/28/03,Student
Jennifer,Arellano,Female,4/30/02,Student
Steven,Ward,Male,01/11/2004,Student
Steven,Macias,Male,10/03/2002,Student
Patrick,Parrish,Male,4/16/03,Student
Marie,Mora,Female,07/09/2004,Student
Joshua,Jackson,Male,07/06/2001,Student
Tiffany,Santos,Female,4/14/04,Student
Anthony,Hess,Male,02/12/2005,Student
Angela,Hood,Female,07/11/2005,Student
Dr.Elizabeth,Castaneda,Female,11/20/86,Faculty
Laura,Kirby,Female,7/31/04,Student
Melanie,Rich,Female,11/10/2001,Student
James,Rodriguez,Male,11/21/04,Student
Dr.Marcus,Mcmahon,Male,10/31/58,Faculty
Elizabeth,Wilson,Female,03/03/2005,Student
Rachel,Lopez,Female,1/28/04,Student
Dr.Mary,Rogers,Female,12/08/1985,Faculty
John,Jordan,Male,04/05/2003,Student
Ellen,Price,Female,10/25/02,Student
David,Pena,Male,10/06/2004,Student
Dr.Audrey,Miller,Female,08/06/1981,Faculty
Rebecca,Barber,Female,01/11/2005,Student
Susan,Davis,Female,11/09/2002,Student
Christian,Carr,Male,01/09/2002,Student
Dr.Elaine,Smith,Female,5/22/72,Faculty
Susan,Peterson,Female,01/11/2001,Student
Dr.Leslie,Brown,Female,02/12/1987,Faculty
Douglas,Ward,Male,03/08/2003,Student
Edward,Macdonald,Male,07/02/2001,Student
Christian,Smith,Male,10/30/00,Student
Dr.Keith,Gonzales,Male,03/04/1969,Faculty
Charles,Potter,Male,12/05/2000,Student
Kristina,Rowland,Female,06/06/2005,Student
Eric,Daniel,Male,07/08/2003,Student
Barbara,Jones,Female,9/26/03,Student
Patricia,Howard,Female,3/16/03,Student
Dr.Shawn,Gordon,Male,11/22/60,Faculty
Molly,White,Female,3/17/03,Student
John,Henry,Male,7/19/05,Student
Amanda,Mcdowell,Female,07/12/2002,Student
Dennis,Diaz,Male,3/31/02,Student
Shannon,Lopez,Female,1/22/02,Student
Dr.Melissa,Osborne,Female,07/11/1978,Faculty
Miguel,Guerra,Male,7/28/01,Student
Erik,Kim,Male,1/13/03,Student
Riley,Johnson,Male,4/22/04,Student
Jose,Craig,Male,6/27/04,Student
Dominique,Braun,Female,2/26/05,Student
Heather,Skinner,Female,12/26/00,Student
Dr.Scott,Roberson,Male,06/10/1957,Faculty
Victoria,Hill,Female,01/12/2001,Student
Jonathan,Burnett,Male,6/13/03,Student
Dr.Jerry,Santiago,Male,10/15/56,Faculty
Dr.Mike,Webster,Male,11/01/1963,Faculty
Heather,Williams,Female,04/04/2001,Student
Jeffrey,Hayes,Male,6/22/03,Student
Martin,Morris,Male,10/26/03,Student
Philip,Hernandez,Male,7/24/04,Student
Dr.Jennifer,Williams,Female,11/05/1954,Faculty
Dr.Kristin,Thomas,Female,09/01/1984,Faculty
Cassandra,Burgess,Female,8/27/03,Student
Katherine,Hines,Female,09/05/2002,Student
Tonya,Thompson,Female,3/17/02,Student
Heidi,Ellis,Female,9/15/02,Student
Aaron,Gibson,Male,06/09/2001,Student
Tom,Hernandez,Male,10/13/01,Student
Mark,Mendoza,Male,3/25/02,Student
Sandra,Brooks,Female,12/08/2002,Student
Dr.Christopher,Johnson,Male,07/04/1986,Faculty
Michael,Miller,Male,1/23/05,Student
Dr.Matthew,Long,Male,12/02/1982,Faculty
Dean,Martinez,Male,6/29/02,Student
Robert,Wyatt,Male,1/30/03,Student
Laura,Rogers,Female,8/19/04,Student
Matthew,Travis,Male,01/12/2005,Student
Dr.Douglas,Jones,Male,2/13/73,Faculty
Pamela,Lee,Female,8/16/02,Student
Julie,Gardner,Female,3/14/02,Student
Dr.Donald,Hess,Male,5/17/70,Faculty
Dr.Robert,Smith,Male,5/27/56,Faculty
Brian,Leach,Male,2/15/04,Student
Dr.Heather,Robinson,Female,6/22/86,Faculty
Dr.Rachel,Graham,Female,1/28/82,Faculty
Michael,White,Male,11/06/2002,Student
Thomas,Horn,Male,2/18/05,Student
Sandra,Yang,Female,12/09/2003,Student
Grant,Taylor,Male,9/25/02,Student
Makayla,Gilmore,Female,05/05/2002,Student
Michael,Sandoval,Male,7/22/03,Student
Laura,Price,Female,02/10/2003,Student
Barbara,Sanders,Female,10/31/03,Student
Luis,White,Male,05/08/2003,Student
Mark,Baker,Male,10/04/2000,Student
Brittney,Perry,Female,07/10/2004,Student
Carrie,Bennett,Female,06/10/2001,Student
Deanna,Jones,Female,5/20/04,Student
Andrea,Williams,Female,07/07/2005,Student
Dr.Randy,Walker,Male,6/26/72,Faculty
Willie,Fritz,Male,5/14/03,Student
Danielle,Williams,Female,01/10/2005,Student
Michael,Vargas,Male,3/19/01,Student
William,Cook,Male,11/27/04,Student
Tami,Hernandez,Female,11/04/2001,Student
Wayne,Turner,Male,3/20/01,Student
Mary,Novak,Female,10/08/2000,Student
Richard,Diaz,Male,08/10/2000,Student
Dr.Seth,Brown,Male,8/24/85,Faculty
Stephanie,Vargas,Female,12/14/02,Student
Dr.Alyssa,White,Female,10/21/77,Faculty
Dr.Jennifer,Ruiz,Female,01/04/1970,Faculty
Dr.James,Stewart,Male,06/12/1963,Faculty
Whitney,Jackson,Female,4/21/03,Student
Theresa,Duffy,Female,7/23/03,Student
Taylor,Williams,Female,11/10/2004,Student
Kelsey,Jones,Female,11/28/03,Student
Sandra,Burnett,Female,11/18/03,Student
Lawrence,Miller,Male,10/06/2002,Student
Patrick,Reyes,Male,4/29/04,Student
Melissa,Wilson,Female,09/08/2004,Student
Alexander,Brown,Male,03/06/2004,Student
Dr.Vanessa,Dillon,Female,7/25/79,Faculty
Catherine,King,Female,06/03/2003,Student
Dr.Kimberly,Buchanan,Female,8/24/66,Faculty
Dr.Clifford,Williams,Male,10/21/85,Faculty
Dr.Jennifer,Hammond,Female,08/01/1958,Faculty
Kevin,Perkins,Male,09/11/2003,Student
Erica,Martin,Female,07/11/2001,Student
Jonathan,Martinez,Male,12/24/01,Student
Diana,Lucero,Female,02/03/2002,Student
Amber,Harrington,Female,7/30/01,Student
Dr.Teresa,Barajas,Female,12/29/67,Faculty
Heather,Pierce,Female,9/21/02,Student
Bobby,Young,Male,4/13/04,Student
Casey,Stephens,Female,03/07/2004,Student
Samantha,Kelly,Female,02/10/2002,Student
Dr.Stacey,Green,Female,5/20/62,Faculty
Haley,Johnson,Female,08/02/2001,Student
Sandra,Johnson,Female,06/07/2004,Student
Keith,Williams,Male,08/03/2004,Student
Stacy,Bonilla,Female,08/04/2000,Student
Dr.Brenda,Weber,Female,01/04/1956,Faculty
Alexandra,White,Female,02/07/2005,Student
Robert,Johnson,Male,07/12/2004,Student
Joseph,Cummings,Male,11/12/2003,Student
Ashley,Clark,Female,12/20/01,Student
Andrea,Moses,Female,5/17/02,Student
Zachary,Carter,Male,07/03/2005,Student
Brittany,Williams,Female,8/25/02,Student
Dr.Nicholas,Smith,Male,11/29/67,Faculty
Brian,Gutierrez,Male,8/27/01,Student
Jerry,Lee,Male,8/24/03,Student
Danielle,Cook,Female,2/19/05,Student
Dr.Sharon,Harris,Female,12/22/61,Faculty
Angela,Warner,Female,12/31/03,Student
Dr.Erik,Sanders,Male,5/14/69,Faculty
Darren,Baird,Male,12/25/03,Student
Dr.Rita,Brooks,Female,01/03/1971,Faculty
Angela,Dean,Female,08/06/2004,Student
Dominique,Johnson,Female,11/22/03,Student
Dr.Linda,Fowler,Female,12/28/77,Faculty
Alexander,Lewis,Male,04/04/2002,Student
Barbara,Stokes,Female,09/06/2002,Student
Dr.Regina,Moody,Female,12/04/1967,Faculty
Anthony,Peterson,Male,3/22/03,Student
Dr.Claire,Conway,Female,08/03/1962,Faculty
Dr.Zachary,Coleman,Male,10/30/72,Faculty
Dr.Mark,Perez,Male,10/17/72,Faculty
Dana,Smith,Female,4/21/03,Student
Dr.Melissa,Ross,Female,08/04/1967,Faculty
Dr.Brian,Martin,Male,2/15/88,Faculty
Adam,Krueger,Male,6/13/05,Student
Justin,Burns,Male,3/18/01,Student
Jacob,Brown,Male,12/26/00,Student
Elizabeth,Thomas,Female,6/26/04,Student
Dr.Roberta,Anderson,Female,01/01/1961,Faculty
Brandon,Carroll,Male,2/15/05,Student
Jermaine,Bray,Male,10/03/2000,Student
Jennifer,Huffman,Female,3/31/04,Student
Maureen,Lopez,Female,12/24/04,Student
Cheryl,Taylor,Female,10/17/01,Student
Stacy,Gomez,Female,9/20/03,Student
Dr.Crystal,Cline,Female,7/28/88,Faculty
Angel,Watson,Male,8/19/04,Student
John,Taylor,Male,6/19/05,Student
Cynthia,Conway,Female,3/14/03,Student
Sherry,Contreras,Female,6/21/04,Student
Jeffrey,Tapia,Male,9/20/04,Student
Sarah,Jones,Female,06/12/2001,Student
Chris,Miller,Male,12/06/2001,Student
Kimberly,Smith,Female,6/26/01,Student
Stefanie,Duffy,Female,1/19/03,Student
Johnny,Fry,Male,3/23/05,Student
Laura,Taylor,Female,11/29/02,Student
Mckenzie,Horne,Female,12/31/01,Student
Carolyn,Barnes,Female,8/15/01,Student
Craig,Stone,Male,3/28/04,Student
Dr.Jeremiah,Moss,Male,10/02/1967,Faculty
Daniel,Torres,Male,10/26/00,Student
Desiree,Kidd,Female,02/12/2005,Student
Molly,Cortez,Female,12/13/04,Student
Dr.Jennifer,Jones,Female,1/22/83,Faculty
Dr.Angela,Paul,Female,8/19/79,Faculty
Susan,Kim,Female,12/11/2004,Student
Katrina,Jones,Female,3/24/05,Student
Dr.Kristen,Miller,Female,7/22/66,Faculty
Sue,Myers,Female,05/03/2003,Student
Dr.Stephen,Meyer,Male,6/26/89,Faculty
Jason,Torres,Male,10/29/01,Student
Dawn,Rojas,Female,4/16/04,Student
Jessica,Brewer,Female,10/24/04,Student
Derrick,Kelley,Male,12/14/01,Student
Robert,Johnston,Male,7/25/01,Student
Dr.Crystal,Zhang,Female,09/08/1958,Faculty
Dr.Stephanie,Day,Female,07/08/1959,Faculty
Matthew,Leach,Male,5/18/03,Student
Darrell,Mahoney,Male,2/19/05,Student
Amanda,Wall,Female,07/11/2005,Student
Paul,Wolfe,Male,01/12/2001,Student
Cody,Watts,Male,07/01/2001,Student
Julie,Curtis,Female,9/24/03,Student
Zachary,Gallagher,Male,11/14/03,Student
Donna,Brown,Female,9/13/02,Student
Dr.Michael,Davidson,Male,10/11/1953,Faculty
Leah,Rogers,Female,04/08/2001,Student
Dr.Joshua,Meyer,Male,8/25/85,Faculty
Paula,Leach,Female,5/26/02,Student
Michelle,Brown,Female,7/15/03,Student
Brittany,Rojas,Female,1/21/02,Student
Christopher,Berry,Male,10/07/2000,Student
Anthony,Pitts,Male,6/26/02,Student
Anthony,Thomas,Male,11/02/2004,Student
Cody,Dawson,Male,3/22/01,Student
Margaret,Davis,Female,11/09/2003,Student
Tara,Elliott,Female,08/01/2002,Student
Dr.Clinton,Perez,Male,3/15/56,Faculty
Jay,Snow,Male,07/06/2005,Student
Garrett,Rivera,Male,07/09/2001,Student
Larry,Davis,Male,9/30/04,Student
Jeffrey,Liu,Male,4/15/01,Student
Shelby,Robles,Female,08/01/2005,Student
Dr.Chris,Hull,Male,01/08/1987,Faculty
Dr.George,Harvey,Male,4/21/71,Faculty
Dr.Megan,French,Female,5/22/71,Faculty
Austin,Sanchez,Male,4/21/01,Student
Christopher,Long,Male,1/16/05,Student
Dr.Katherine,Curry,Female,10/15/56,Faculty
Justin,Hernandez,Male,09/01/2002,Student
Dr.Joseph,James,Male,07/06/1985,Faculty
Dr.Brent,Scott,Male,10/06/1988,Faculty
Noah,Brock,Male,04/12/2002,Student
Desiree,Cannon,Female,12/11/2004,Student
Dr.Ashley,James,Female,3/13/63,Faculty
Eric,King,Male,10/23/00,Student
Bianca,Gardner,Female,12/02/2001,Student
Deborah,Manning,Female,7/29/04,Student
John,Davis,Male,7/31/04,Student
Dr.Hector,West,Male,4/24/77,Faculty
Nathaniel,Hill,Male,2/19/04,Student
Dr.Lisa,Flores,Female,12/27/78,Faculty
Sean,Cabrera,Male,12/04/2000,Student
Dr.Sue,Estrada,Female,02/09/1970,Faculty
Lisa,Riley,Female,5/21/04,Student
Taylor,Olson,Female,09/08/2001,Student
Donna,Smith,Female,5/26/05,Student
Dr.Laurie,Cameron,Female,4/19/82,Faculty
Linda,King,Female,10/01/2001,Student
Travis,Wagner,Male,1/22/02,Student
Dr.Victoria,Simmons,Female,4/28/64,Faculty
Bruce,Smith,Male,8/30/02,Student
Steven,Lam,Male,12/21/01,Student
Dr.Casey,Vasquez,Female,9/13/70,Faculty
James,White,Male,06/01/2002,Student
Dr.Crystal,Porter,Female,11/07/1956,Faculty
Edward,Blanchard,Male,12/23/04,Student
Dr.Sherry,Braun,Female,11/16/69,Faculty
Diamond,Martinez,Female,02/03/2002,Student
Jamie,Shaw,Female,6/20/01,Student
Dr.Angela,Murphy,Female,4/30/85,Faculty
Dr.Krista,Allison,Female,5/31/72,Faculty
Gabriel,Dorsey,Male,10/23/04,Student
Richard,Johnson,Male,04/07/2001,Student
Eric,Gonzalez,Male,11/05/2000,Student
Haley,Thomas,Female,02/08/2003,Student
James,Hunter,Male,09/03/2003,Student
Jill,Sanchez,Female,3/19/01,Student
Lisa,Hamilton,Female,05/10/2003,Student
Michael,Chaney,Male,6/13/03,Student
Ryan,Yang,Male,01/09/2002,Student
Christopher,Owens,Male,2/19/02,Student
Dr.Kimberly,Zuniga,Female,8/21/61,Faculty
Ashley,Nguyen,Female,7/24/01,Student
Dr.Gerald,Oneill,Male,01/04/1967,Faculty
Heidi,Jones,Female,05/08/2004,Student
Kathryn,Montoya,Female,11/13/04,Student
Dr.Allison,Martinez,Female,10/02/1970,Faculty
Dr.Alan,Flores,Male,11/26/64,Faculty
Ronald,Lewis,Male,6/16/03,Student
Bobby,Gomez,Male,10/08/2000,Student
Arthur,Williams,Male,6/17/01,Student
Katherine,Gonzalez,Female,03/09/2002,Student
Allen,Wright,Male,2/20/02,Student
Sarah,Kennedy,Female,8/24/02,Student
Joseph,Turner,Male,12/27/01,Student
Jeffrey,Morgan,Male,8/19/02,Student
Dr.Elizabeth,Walker,Female,6/22/63,Faculty
Laura,Mullen,Female,7/21/05,Student
Joseph,Robertson,Male,12/06/2000,Student
Susan,Coleman,Female,12/19/03,Student
Brenda,Rollins,Female,2/20/02,Student
Amy,Schmitt,Female,7/16/01,Student
Jonathan,Krause,Male,08/08/2000,Student
Dawn,Myers,Female,5/17/02,Student
Glen,Burke,Male,12/29/00,Student
Dr.Tamara,Henry,Female,8/23/79,Faculty
Jeffrey,Rivera,Male,04/03/2002,Student
Chad,Martinez,Male,3/27/05,Student
Sean,Mcclain,Male,05/01/2001,Student
Robert,Villa,Male,8/23/01,Student
James,Todd,Male,2/16/05,Student
Sean,Little,Male,12/04/2001,Student
Aaron,Mendoza,Male,04/04/2004,Student
Dr.Michelle,Lopez,Female,4/25/80,Faculty
Dr.Lisa,Wright,Female,12/27/59,Faculty
Robert,Lee,Male,9/15/02,Student
Brett,Walker,Male,07/02/2002,Student
Dr.Catherine,Higgins,Female,2/13/56,Faculty
Chad,Huynh,Male,07/11/2002,Student
Chad,Martin,Male,1/15/01,Student
Daniel,Sanchez,Male,01/08/2005,Student
Shawn,Maxwell,Male,8/22/02,Student
Dr.Christopher,Lewis,Male,04/02/1967,Faculty
Karen,Bolton,Female,11/24/02,Student
Samantha,Smith,Female,04/08/2004,Student
Dr.Erin,King,Female,12/04/1970,Faculty
Emily,Watkins,Female,3/15/03,Student
Amber,Nguyen,Female,11/10/2000,Student
Veronica,Parker,Female,12/02/2003,Student
Kevin,Benton,Male,2/19/04,Student
Daniel,Cummings,Male,9/16/03,Student
Daniel,Haynes,Male,06/08/2004,Student
Christopher,Rangel,Male,12/31/00,Student
Tammy,Barber,Female,01/12/2002,Student
Amanda,Jackson,Female,12/09/2002,Student
Sheri,Conner,Female,1/31/04,Student
Bradley,Ramirez,Male,10/02/2003,Student
Amy,Williams,Female,11/11/2003,Student
Dr.Anthony,Brown,Male,8/21/53,Faculty
Lisa,Vasquez,Female,01/08/2004,Student
Stefanie,Foster,Female,8/25/03,Student
Dr.Jason,Torres,Male,03/09/1976,Faculty
Rhonda,Woods,Female,11/23/04,Student
Kimberly,Jackson,Female,11/28/01,Student
Vanessa,Garcia,Female,7/27/02,Student
Karen,Johnson,Female,04/01/2004,Student
Tiffany,Martinez,Female,09/12/2001,Student
Kristin,Hawkins,Female,08/05/2002,Student
David,Mcdaniel,Male,08/06/2004,Student
William,Ponce,Male,12/01/2003,Student
Leslie,Thomas,Female,10/14/04,Student
Mark,Hubbard,Male,01/05/2001,Student
James,Bryant,Male,05/09/2002,Student
Jacob,Cantrell,Male,5/23/02,Student
Casey,Santiago,Male,4/14/04,Student
Ryan,Ramos,Male,05/02/2004,Student
Kristy,Wilson,Female,10/04/2001,Student
Kristin,Perkins,Female,5/24/04,Student
Jeremiah,Holloway,Male,02/10/2003,Student
Dr.Kevin,Reilly,Male,09/04/1961,Faculty
Thomas,Martinez,Male,11/25/00,Student
Kyle,Perry,Male,05/01/2001,Student
Dr.Ronald,Patel,Male,8/15/61,Faculty
Tiffany,White,Female,09/05/2003,Student
Matthew,Mitchell,Male,3/26/05,Student
Katie,Rice,Female,11/20/03,Student
Michael,Smith,Male,11/06/2002,Student
Ronald,Nelson,Male,04/05/2002,Student
Lisa,Sharp,Female,5/27/04,Student
Jerry,Moore,Male,05/04/2004,Student
Elizabeth,Pacheco,Female,08/10/2003,Student
Elizabeth,Huffman,Female,11/01/2002,Student
Jessica,Perez,Female,4/13/04,Student
Christina,Jones,Female,01/09/2004,Student
Jennifer,Russo,Female,4/14/01,Student
Julian,Gonzalez,Male,3/15/05,Student
Laurie,Stein,Female,3/24/03,Student
Holly,Lindsey,Female,11/21/00,Student
Reginald,Reed,Male,06/10/2005,Student
Shelley,Macdonald,Female,08/01/2001,Student
Dr.Chad,Coleman,Male,07/03/1971,Faculty
Dr.Denise,Mullen,Female,12/22/54,Faculty
Dr.Sydney,Guerra,Female,9/26/55,Faculty
Dr.Jesse,Lee,Male,06/05/1974,Faculty
Theresa,Roberts,Female,1/19/04,Student
Dr.Raymond,Brock,Male,01/12/1967,Faculty
Dr.Stephanie,Jordan,Female,05/10/1954,Faculty
Dr.Patricia,Lopez,Female,5/27/83,Faculty
Connie,Navarro,Female,6/26/05,Student
Annette,Beard,Female,03/08/2005,Student
Amber,Browning,Female,04/08/2001,Student
Caleb,Patterson,Male,02/09/2001,Student
Alvin,Johnson,Male,10/15/04,Student
Ronald,Beard,Male,10/19/02,Student
Dr.Gregory,Anderson,Male,6/26/65,Faculty
Victor,Arellano,Male,6/17/02,Student
Christina,Moore,Female,09/07/2001,Student
Alejandro,Hardy,Male,03/12/2002,Student
Steven,Winters,Male,6/20/01,Student
Sarah,Green,Female,1/17/02,Student
Rebecca,Willis,Female,08/05/2001,Student
Brianna,Phillips,Female,05/03/2002,Student
Christine,Moran,Female,1/15/04,Student
Dr.David,Bruce,Male,06/02/1964,Faculty
Dwayne,Gonzales,Male,03/07/2005,Student
Stacy,Curtis,Female,08/09/2000,Student
Michael,Gordon,Male,12/14/01,Student
Justin,Ramirez,Male,3/29/01,Student
Victoria,Williams,Female,12/17/02,Student
