Name,Degree,Student,Module,Class,Start Date,End Date,Year,Academic Year
ERP_20000_Enrolment_CSE-656,BSc Computer Science,Laurie Mitchell,Re-Intermediate Rich Bandwidth,CSE-656_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20000_Enrolment_CSE-966,BSc Computer Science,Laurie Mitchell,Empower Revolutionary Markets,CSE-966_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20000_Enrolment_CSE-758,BSc Computer Science,Laurie Mitchell,Engage Transparent Convergence,CSE-758_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20000_Enrolment_CSE-554,BSc Computer Science,Laurie Mitchell,Reinvent Best-Of-Breed Experiences,CSE-554_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20000_Enrolment_CSE-457,BSc Computer Science,Laurie Mitchell,Facilitate Magnetic Synergies,CSE-457_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20000_Enrolment_CSE-287,BSc Computer Science,Laurie Mitchell,Redefine Distributed Vortals,CSE-287_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20000_Enrolment_CSE-935,BSc Computer Science,Laurie Mitchell,Leverage Revolutionary Web Services,CSE-935_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20000_Enrolment_CSE-200,BSc Computer Science,Laurie Mitchell,Generate Extensible Partnerships,CSE-200_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20000_Enrolment_CSE-340,BSc Computer Science,Laurie Mitchell,Disintermediate Bleeding-Edge Technologies,CSE-340_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20000_Enrolment_CSE-209,BSc Computer Science,Laurie Mitchell,Visualize Cross-Media Info-Mediaries,CSE-209_Class_3,08/11/2024,06/03/2024,Freshman,2024
ERP_20001_Enrolment_CSE-656,BSc Computer Science,Kevin Benton,Re-Intermediate Rich Bandwidth,CSE-656_Class_1,08/11/2024,06/03/2024,Freshman,2024
